Not Seasonally Adjusted
Series Title: All items less shelter in U.S. city average, all urban consumers, not seasonally adjusted
Area:         U.S. city average
Item:         All items less shelter
Base Period:  1982-84=100

Year,Annual
1975,56.0
1976,59.3
1977,63.1
1978,67.4
1979,74.2
1980,82.9
1981,91.0
1982,96.2
1983,99.8
1984,103.9
1985,107.0
1986,108.0
1987,111.6
1988,115.9
1989,121.6
1990,128.2
1991,133.5
1992,137.3
1993,141.4
1994,144.8
1995,148.6
1996,152.8
1997,155.9
1998,157.2
1999,160.2
2000,165.7
2001,169.7
2002,170.8
2003,174.6
2004,179.3
2005,186.1
2006,191.9
2007,196.639
2008,205.453
2009,203.301
2010,208.643
2011,217.048
2012,221.446
2013,223.820
2014,226.192
2015,223.313
2016,223.807
2017,227.241
2018,231.789
2019,234.215
2020,235.676
